                                                      
Run Start Time: 11:54:54     Run Start Date: 10-30-2021

******************************************************************************
**************************************************************


                  TQCM DATA

Time       Frequency     Temperature    Delta Freq/Hr   Delta Freq/Hr/Hr
(Min)         (Hz)          (C)

1            3528           20.2               0      0
2            3535           20.2               0      0
3            3548           20.2               0      0
4            3610           -7.0               0      0
5            3848           -20.2               0      0
6            4180           -20.2               0      0
7            4561           -20.2               0      0
8            4988           -20.2               0      0
9            5461           -20.2               0      0
10            5968           -20.2               0      0
11            6502           -20.2               0      0
12            7055           -20.2               0      0
13            7627           -20.2               0      0
14            8234           -20.2               0      0
15            8852           -20.2               0      0
16            9474           -20.2               0      0
17            10104           -20.2               0      0
18            10746           -20.2               0      0
19            11490           -20.2               0      0
20            12561           -20.2               0      0
21            13668           -20.2               0      0
22            14727           -20.2               0      0
23            15732           -20.2               0      0
24            16710           -20.2               0      0
25            17683           -20.2               0      0
26            18662           -20.2               0      0
27            19637           -20.2               0      0
28            20592           -20.2               0      0
29            21521           -20.2               0      0
30            22424           -20.2               0      0
31            23309           -20.2               0      0
32            24177           -20.2               0      0
33            25058           -20.2               0      0
34            25917           -20.2               0      0
35            26755           -20.2               0      0
36            27571           -20.2               0      0
37            28374           -20.2               0      0
38            29155           -20.2               0      0
39            29931           -20.2               0      0
40            0           -20.2               0      0
41            0           -20.2               0      0
42            0           -19.8               0      0
43            0           -15.9               0      0
44            0           19.8               0      0
45            0           49.8               0      0
46            0           69.6               0      0
47            5640           80.1               0      0
48            4366           80.1               0      0
49            3910           80.1               0      0
50            3713           80.1               0      0
51            3673           43.5               0      0
52            3721           8.9               0      0
53            3989           -12.8               0      0
54            4498           -19.8               0      0
55            5086           -20.2               0      0
56            5710           -19.8               0      0
57            6324           -19.8               0      0
58            6934           -19.8               0      0
59            7548           -19.8               0      0
60            8166           -19.8               0      0
61            8783           -19.8               5255      0
62            9400           -19.8               5865      0
63            10014           -19.8               6466      0
64            10626           -19.8               7016      0
65            11233           -18.3               7385      0
66            11767           -15.5               7587      0
67            12144           -12.4               7583      0
68            12365           -9.7               7377      0
69            12457           -6.6               6996      0
70            12437           -3.5               6469      0
71            12320           -0.8               5818      0
72            12134           2.3               5079      0
73            11908           5.4               4281      0
74            11670           8.2               3436      0
75            11441           11.3               2589      0
76            2303           14.0               -7171      0
77            11128           17.1               1024      0
78            11023           20.2               277      0
79            10927           22.9               -563      0
80            10816           26.0               -1745      0
81            10658           28.8               -3010      0
82            10424           31.9               -4303      0
83            10096           34.6               -5636      0
84            9655           38.1               -7055      0
85            9086           40.8               -8597      0
86            8408           43.9               -10254      0
87            7666           47.0               -11971      0
88            6940           50.1               -13652      0
89            6276           53.2               -15245      0
90            5689           56.4               -16735      0
91            5193           59.1               -18116      0
92            4813           61.8               -19364      0
93            4501           64.9               -20557      0
94            4245           68.0               -21672      0
95            4044           71.1               -22711      0
96            3889           74.2               -23682      0
97            3777           77.3               -24597      0
98            3693           80.1               -25462      0
99            3641           80.1               -26290      0
100            3604           80.1               3604      0
101            3576           80.1               3576      0
102            3558           80.1               3558      0
103            3547           80.1               3547      0
104            3536           80.1               3536      0
105            3526           80.1               3526      0
106            3518           80.1               3518      0
107            3511           80.1               -2129      0
108            3506           80.1               -860      0
109            3516           70.3               -394      0
110            3543           62.2               -170      0
111            3563           56.0               -110      0
112            3578           51.3               -143      0
113            3587           47.4               -402      0
114            3588           44.3               -910      0
115            3593           42.0               -1493      0
116            3597           40.0               -2113      0
117            3602           38.5               -2722      0
118            3610           37.3               -3324      0
119            3621           36.1               -3927      0
120            3633           35.4               -4533      0
121            3656           34.6               -5127      -10382
122            3655           33.8               -5745      -11610
123            3615           32.6               -6399      -12865
124            3611           31.9               -7015      -14031
125            3598           4.7               -7635      -15020
126            3736           -15.2               -8031      -15618
127            4027           -19.8               -8117      -15700
128            4308           -20.2               -8057      -15434
129            4570           -20.6               -7887      -14883
130            4828           -20.2               -7609      -14078
131            5086           -20.2               -7234      -13052
132            5354           -20.2               -6780      -11859
133            5630           -20.2               -6278      -10559
134            5916           -20.2               -5754      -9190
135            6213           -20.2               -5228      -7817
136            6529           -20.2               4226      11397
137            7022           -20.2               -4106      -5130
138            7579           -20.2               -3444      -3721
139            8132           -20.2               -2795      -2232
140            8672           -20.2               -2144      -399
141            9208           -20.2               -1450      1560
142            9738           -20.2               -686      3617
143            10267           -20.2               171      5807
144            10800           -20.2               1145      8200
145            11336           -20.2               2250      10847
146            11865           -20.2               3457      13711
147            12389           -20.2               4723      16694
148            12907           -20.2               5967      19619
149            13422           -20.2               7146      22391
150            13932           -20.2               8243      24978
151            14435           -19.0               9242      27358
152            14868           -15.9               10055      29419
153            15161           -13.2               10660      31217
154            15303           -10.1               11058      32730
155            15312           -7.4               11268      33979
156            15193           -4.3               11304      34986
157            14951           -1.2               11174      35771
158            14612           1.9               10919      36381
159            14205           4.7               10564      36854
160            13759           7.8               10155      6551
161            13301           10.5               9725      6149
162            12875           13.6               9317      5759
163            12493           16.7               8946      5399
164            12162           19.4               8626      5090
165            11864           22.5               8338      4812
166            11580           25.3               8062      4544
167            11274           28.8               7763      9892
168            10924           31.9               7418      8278
169            10512           34.2               6996      7390
170            10025           37.3               6482      6652
171            9446           40.0               5883      5993
172            8759           43.1               5181      5324
173            8010           46.3               4423      4825
174            7267           49.4               3679      4589
175            6585           52.5               2992      4485
176            5947           55.6               2350      4463
177            5383           58.3               1781      4503
178            4921           61.0               1311      4635
179            4560           64.5               939      4866
180            4247           67.2               614      5147
181            4004           70.3               348      5475
182            3830           73.1               175      5920
183            3716           77.0               101      6500
184            3643           79.7               32      7047
185            3599           79.7               1      7636
186            3577           79.7               -159      7872
187            3566           79.7               -461      7656
188            3560           79.7               -748      7309
189            3556           79.7               -1014      6873
190            3554           79.7               -1274      6335
191            3559           79.7               -1527      5707
192            3561           79.7               -1793      4987
193            3561           79.7               -2069      4209
194            3563           79.7               -2353      3401
195            3572           70.0               -2641      2587
196            3592           61.4               -2937      -7163
197            3603           54.8               -3419      687
198            3608           49.8               -3971      -527
199            3605           45.9               -4527      -1732
200            3600           42.8               -5072      -2928
201            3595           40.4               -5613      -4163
202            3592           38.5               -6146      -5460
203            3591           36.9               -6676      -6847
204            3590           35.8               -7210      -8355
205            3590           35.0               -7746      -9996
206            3591           34.2               -8274      -11731
207            3593           33.4               -8796      -13519
208            3595           33.0               -9312      -15279
209            3597           32.6               -9825      -16971
210            3600           31.9               -10332      -18575
211            3603           31.9               -10832      -20074
212            3607           31.5               -11261      -21316
213            3611           31.1               -11550      -22210
214            3690           22.2               -11613      -22671
215            3714           -6.2               -11598      -22866
216            3766           -18.7               -11427      -22731
217            3894           -19.8               -11057      -22231
218            4049           -19.8               -10563      -21482
219            4202           -19.8               -10003      -20567
220            4349           -20.2               -9410      -19565
221            4492           -20.2               -8809      -18534
