i	sum_f	sum_d	real	error_f	error_d
0	1e-07	1e-07	0	-inf	-inf
10000	0.00100011	0.0010001	0.001	-0.000107382	-0.0001
20000	0.00200006	0.0020001	0.002	-3.01991e-05	-5e-05
30000	0.0029989	0.0030001	0.003	0.00036538	-3.33333e-05
40000	0.00399796	0.0040001	0.004	0.000509852	-2.5e-05
50000	0.00499913	0.0050001	0.005	0.000173528	-2e-05
60000	0.0060003	0.0060001	0.006	-5.06882e-05	-1.66667e-05
70000	0.00700148	0.0070001	0.007	-0.000210842	-1.42857e-05
80000	0.00800176	0.0080001	0.008	-0.000220422	-1.25e-05
90000	0.00899828	0.0090001	0.009	0.000191275	-1.11111e-05
100000	0.00999479	0.0100001	0.01	0.000520632	-1e-05
110000	0.0109913	0.0110001	0.011	0.000790106	-9.09091e-06
120000	0.0119878	0.0120001	0.012	0.00101467	-8.33333e-06
130000	0.0129843	0.0130001	0.013	0.00120468	-7.69231e-06
140000	0.0139809	0.0140001	0.014	0.00136755	-7.14286e-06
150000	0.0149774	0.0150001	0.015	0.0015087	-6.66666e-06
160000	0.0159771	0.0160001	0.016	0.00142837	-6.25e-06
170000	0.016983	0.0170001	0.017	0.0010015	-5.88235e-06
180000	0.0179888	0.0180001	0.018	0.000622063	-5.55555e-06
190000	0.0189946	0.0190001	0.019	0.000282566	-5.26315e-06
200000	0.0200005	0.0200001	0.02	-2.29813e-05	-5e-06
210000	0.0210063	0.0210001	0.021	-0.000299429	-4.7619e-06
220000	0.0220121	0.0220001	0.022	-0.000550745	-4.54545e-06
230000	0.0230179	0.0230001	0.023	-0.000780207	-4.34782e-06
240000	0.0240238	0.0240001	0.024	-0.000990548	-4.16666e-06
250000	0.0250296	0.0250001	0.025	-0.00118406	-4e-06
260000	0.0260354	0.0260001	0.026	-0.00136269	-3.84615e-06
270000	0.0270413	0.0270001	0.027	-0.00152808	-3.7037e-06
280000	0.0280471	0.0280001	0.028	-0.00168167	-3.57142e-06
290000	0.0290529	0.0290001	0.029	-0.00182466	-3.44827e-06
300000	0.0300587	0.0300001	0.03	-0.00195811	-3.33333e-06
310000	0.0310646	0.0310001	0.031	-0.00208296	-3.2258e-06
320000	0.0320704	0.0320001	0.032	-0.00219995	-3.125e-06
330000	0.0330762	0.0330001	0.033	-0.0023099	-3.0303e-06
340000	0.0340821	0.0340001	0.034	-0.00241339	-2.94117e-06
350000	0.0350879	0.0350001	0.035	-0.00251096	-2.85714e-06
360000	0.0360937	0.0360001	0.036	-0.00260311	-2.77778e-06
370000	0.0370995	0.0370001	0.037	-0.00269028	-2.7027e-06
380000	0.0381054	0.0380001	0.038	-0.00277286	-2.63158e-06
390000	0.0391112	0.0390001	0.039	-0.0028512	-2.5641e-06
400000	0.040117	0.0400001	0.04	-0.00292563	-2.5e-06
410000	0.0411229	0.0410001	0.041	-0.00299643	-2.43903e-06
420000	0.0421287	0.0420001	0.042	-0.00306386	-2.38096e-06
430000	0.0431345	0.0430001	0.043	-0.00312815	-2.32559e-06
440000	0.0441403	0.0440001	0.044	-0.00318952	-2.27273e-06
450000	0.0451462	0.0450001	0.045	-0.00324816	-2.22223e-06
460000	0.046152	0.0460001	0.046	-0.00330425	-2.17392e-06
470000	0.0471578	0.0470001	0.047	-0.00335796	-2.12767e-06
480000	0.0481637	0.0480001	0.048	-0.00340943	-2.08334e-06
490000	0.0491695	0.0490001	0.049	-0.00345879	-2.04082e-06
500000	0.0501753	0.0500001	0.05	-0.00350618	-2.00001e-06
510000	0.0511811	0.0510001	0.051	-0.00355172	-1.96079e-06
520000	0.052187	0.0520001	0.052	-0.0035955	-1.92309e-06
530000	0.0531928	0.0530001	0.053	-0.00363763	-1.8868e-06
540000	0.0541986	0.0540001	0.054	-0.0036782	-1.85186e-06
550000	0.0552045	0.0550001	0.055	-0.00371729	-1.81819e-06
560000	0.0562103	0.0560001	0.056	-0.00375499	-1.78572e-06
570000	0.0572161	0.0570001	0.057	-0.00379137	-1.7544e-06
580000	0.0582219	0.0580001	0.058	-0.00382649	-1.72415e-06
590000	0.0592278	0.0590001	0.059	-0.00386042	-1.69493e-06
600000	0.0602336	0.0600001	0.06	-0.00389322	-1.66668e-06
